siblings;key;company_name;record_date;ex_date;annc_type;datepaid_payable;currency;value;tax;interest_start;interest_end; interest_rate;remarks;base;giving;price;before_consolidation;after_consolidation;particulars
19762;27562;ISHARES DJ US TECH IYW 10;28 Sep 2016;26 Sep 2016;DIVIDEND;30 Sep 2016;USD;0.327237;LESS TAX;;;;;;;;;;USD 0.327237 LESS TAX
19762;27561;ISHARES S&P500 IVV 10;28 Sep 2016;26 Sep 2016;DIVIDEND;30 Sep 2016;USD;1.103092;LESS TAX;;;;;;;;;;USD 1.103092 LESS TAX
19762;27603;SHANGRI-LA ASIA LIMITED;28 Sep 2016;26 Sep 2016;DIVIDEND;07 Oct 2016;HKD;0.05;ONE-TIER TAX;;;;;;;;;;HKD 0.05 ONE-TIER TAX
19762;27516;ADVANCER GLOBAL LIMITED;22 Sep 2016;20 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.0035;ONE-TIER TAX;;;;;;;;;;SGD 0.0035 ONE-TIER TAX
19762;27509;OUE LIMITED;20 Sep 2016;16 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.02;ONE-TIER TAX;;;;;;;;;;SGD 0.02 ONE-TIER TAX
19762;27510;OUE LIMITED;20 Sep 2016;16 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
19762;27498;SPDR DJIA ETF TRUST;20 Sep 2016;16 Sep 2016;DIVIDEND;17 Oct 2016;USD;0.3543;LESS TAX;;;;;;;;;;USD 0.3543 LESS TAX
19762;27497;SPDR S&P 500 ETF TRUST;20 Sep 2016;16 Sep 2016;DIVIDEND;31 Oct 2016;USD;1.082068;LESS TAX;;;;;;;;;;USD 1.082068 LESS TAX
19762;27504;PAN HONG HOLDINGS GROUP LTD;19 Sep 2016;15 Sep 2016;DIVIDEND;30 Sep 2016;SGD;0.015;None;;;;;;;;;;SGD 0.015
19762;27502;ASIAN PAY TELEVISION TRUST;16 Sep 2016;14 Sep 2016;DIVIDEND;23 Sep 2016;;;;;;;;;;;;;010416 - 300616 SGD 0.01625 TAX EXEMPT
19762;27501;CDW HOLDING LIMITED;16 Sep 2016;14 Sep 2016;DIVIDEND;23 Sep 2016;USD;0.002;ONE-TIER TAX;;;;;;;;;;USD 0.002 ONE-TIER TAX
19762;27495;PAN-UNITED CORPORATION LTD;15 Sep 2016;13 Sep 2016;DIVIDEND;23 Sep 2016;SGD;0.01;ONE-TIER TAX;;;;;;;;;;SGD 0.01 ONE-TIER TAX
